Mould Code,Mould Name,ItemNo,Description
BAGMLDDA0000,MELODY BAG DAINTY,FGBAGMLDY006,MELODY BAG DAINTY WHITE
,,FGBAGMLDY008,MELODY BAG DAINTY NILE BLUE
,,FGBAGMLDY009,MELODY BAG DAINTY GREEN
,,FGBAGMLDY010,MELODY BAG DAINTY ORANGE
,,FGBAGMLDY011,MELODY BAG DAINTY OCEAN BLUE
.,,,
BARL100LBT00,BARREL 100LT BOTTOM,SFBRL100B002,BARREL 100LT BOTTOM - GREEN
,,SFBRL100B003,BARREL 100LT BOTTOM - RED
,,SFBRL100B005,BARREL 100LT BOTTOM - YELLOW
,,SFBRL100B006,BARREL 100LT BOTTOM - BLACK
,,SFBRL100B007,BARREL 100LT BOTTOM - ORANGE
,,SFBRL100B008,BARREL 100LT BOTTOM - BLUE
,,SFBRL100B013,BARREL 100LT BOTTOM - BROWN
,,SFBRL100B016,BARREL 100LT BOTTOM PHX 01 - BLACK
.,,,
BARL100LTP00,BARREL 100LT TOP,SFBRL100T002,BARREL 100LT TOP - GREEN
,,SFBRL100T003,BARREL 100LT TOP - RED
,,SFBRL100T005,BARREL 100LT TOP - YELLOW
,,SFBRL100T006,BARREL 100LT TOP - BLACK
,,SFBRL100T007,BARREL 100LT TOP - ORANGE
,,SFBRL100T008,BARREL 100LT TOP - BLUE
,,SFBRL100T013,BARREL 100LT TOP - BROWN
.,,,
BARL20LTBT00,BARREL 20LT BOT,SFBRL20LB006,BARREL 20L BT/SUPERIOR - RED
,,SFBRL20LB007,BARREL 20L BT/SUPERIOR - ORANG
,,SFBRL20LB008,BARREL 20L BT/SUPERIOR - BLUE
,,SFBRL20LB010,BARREL 20L BT/SUPERIOR ?YELLOW
,,SFBRL20LB020,BARREL 20L BT/SUPERIOR ? BROWN
,,SFBRL20LB021,BARREL 20L BT/SUPERIOR ? DARK GREEN
.,,,
BARL20LTTP00,BARREL 20LT TOP,SFBRL20LT006,BARREL 20L TP/SUPERIOR - RED
,,SFBRL20LT007,BARREL 20L TP/SUPERIOR -ORANGE
,,SFBRL20LT008,BARREL 20L TP/SUPERIOR - BLUE
,,SFBRL20LT009,BARREL 20L TP/SUPERIOR - GREEN
,,SFBRL20LT010,BARREL 20L TP/SUPERIOR ?YELLOW
,,SFBRL20LT020,BARREL 20L TP/SUPERIOR - BROWN
,,SFBRL20LT023,BARREL 20L TP/SUPERIOR - DARK GREEN
.,,,
BARL25LTBT00,BARREL 25LT BOT,SFBRL25LB020,BARREL 25L BT/SUPERIOR - DARK GREEN
.,,,
BARL25LTBT01,BARREL 25LT BOT 2019,SFBRL25LB021,BARREL 25LT BT/SUPERIOR 2019 - RED
,,SFBRL25LB022,BARREL 25LT BT/SUPERIOR 2019 - ORANGE
,,SFBRL25LB023,BARREL 25LT BT/SUPERIOR 2019 - BLUE
,,SFBRL25LB024,BARREL 25LT BT/SUPERIOR 2019 - YELLOW
,,SFBRL25LB025,BARREL 25LT BT/SUPERIOR 2019 - BROWN
,,SFBRL25LB026,BARREL 25LT BT/SUPERIOR 2019 - DARK GREEN
,,SFBRL25LB027,BARREL 25LT BT/SUPERIOR 2019 - CLEAR
,,SFBRL25LB028,BARREL 25LT BT/SUPERIOR 2019 - BLACK
,,SFBRL25LT033,BARREL 25LT TP/SUPERIOR 2019 - RECYCLEˇ BLACK
.,,,
BARL25LTTP00,BARREL 25LT TOP,SFBRL25LT006,BARREL 25LT TP/SUPERIOR - RED
.,,,
BARL25LTTP01,BARREL 25LT TOP 2019,SFBRL25LT026,BARREL 25LT TP/SUPERIOR 2019 - RED
,,SFBRL25LT027,BARREL 25LT TP/SUPERIOR 2019 - ORANGE
